"participant","session","gender","age","SOA","Orientierung","stimulus","response","correct","Rating","rt","rating","rating3"
1,1,"w",23,66.7,90,"waagrecht","waagrecht",1,0.285725185016,2.18258635668,4,2
1,1,"w",23,66.7,90,"waagrecht","senkrecht",0,0.47618829633,2.35745197274,4,2
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,0.69839017319,2.26615462398,5,3
1,1,"w",23,133.3,90,"waagrecht","waagrecht",1,0.214282444495,1.98253072962,4,2
1,1,"w",23,66.7,90,"waagrecht","waagrecht",1,0.0634927901122,2.43255299327,3,2
1,1,"w",23,16.7,90,"waagrecht","waagrecht",1,0.134905012589,1.94092239544,3,2
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,1,2.16587674532,5,3
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,1,1.940915017,5,3
1,1,"w",23,8.3,90,"waagrecht","senkrecht",0,-0.273456931411,2.49084976588,2,2
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,0.904753185321,1.94113829516,5,3
1,1,"w",23,33.3,0,"senkrecht","senkrecht",1,-1.52590218967e-05,2.63252745744,3,2
1,1,"w",23,66.7,90,"waagrecht","waagrecht",1,0.69839017319,2.14090423805,5,3
1,1,"w",23,16.7,0,"senkrecht","senkrecht",1,0.158739604791,2.20757490405,3,2
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,0.936491950866,2.14924797606,5,3
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,0.76983291371,1.87425718308,5,3
1,1,"w",23,16.7,0,"senkrecht","senkrecht",1,-1,4.14062481955,1,1
1,1,"w",23,8.3,90,"waagrecht","senkrecht",0,-0.531273365377,2.01590151123,2,2
1,1,"w",23,8.3,0,"senkrecht","senkrecht",1,-0.960967421988,2.68276664738,1,1
1,1,"w",23,8.3,90,"waagrecht","senkrecht",0,-0.695338368811,1.81590298692,1,1
1,1,"w",23,16.7,0,"senkrecht","senkrecht",1,-0.0859540703441,2.84941010937,3,2
1,1,"w",23,8.3,90,"waagrecht","senkrecht",0,-0.343770504311,2.19092079143,2,2
1,1,"w",23,16.7,0,"senkrecht","waagrecht",0,-0.1953307393,2.37444517302,3,2
1,1,"w",23,33.3,0,"senkrecht","senkrecht",1,0.24602121004,2.04106682048,4,2
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,0.563469901579,2.3075406424,4,2
1,1,"w",23,16.7,0,"senkrecht","senkrecht",1,0.365072098878,1.96591543404,4,2
1,1,"w",23,16.7,90,"waagrecht","senkrecht",0,0.24602121004,1.87421772444,4,2
1,1,"w",23,16.7,0,"senkrecht","waagrecht",0,-0.0468909742885,2.66609681546,3,2
1,1,"w",23,8.3,90,"waagrecht","waagrecht",1,0.269825284199,3.28271730804,4,2
1,1,"w",23,16.7,0,"senkrecht","senkrecht",1,0.0476234073396,2.31593667113,3,2
1,1,"w",23,33.3,90,"waagrecht","waagrecht",1,-1.52590218967e-05,2.02426289335,3,2
1,1,"w",23,33.3,0,"senkrecht","waagrecht",0,-1,6.21562446667,1,1
1,1,"w",23,16.7,90,"waagrecht","senkrecht",0,-0.929716945144,3.94098815984,1,1
1,1,"w",23,33.3,0,"senkrecht","waagrecht",0,-0.312520027466,2.41611285556,2,2
1,1,"w",23,8.3,0,"senkrecht","senkrecht",1,-0.0703288319219,3.04940061363,3,2
1,1,"w",23,133.3,90,"waagrecht","waagrecht",1,1,2.5242218307,5,3
1,1,"w",23,8.3,0,"senkrecht","waagrecht",0,0.087296864271,2.96584934884,3,2
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,1,2.10778785239,5,3
1,1,"w",23,16.7,0,"senkrecht","senkrecht",1,-0.367208361944,2.78256749352,2,2
1,1,"w",23,66.7,90,"waagrecht","waagrecht",1,0.420614938582,2.12427835601,4,2
1,1,"w",23,33.3,0,"senkrecht","senkrecht",1,0.301594567788,2.31593538792,4,2
1,1,"w",23,133.3,90,"waagrecht","waagrecht",1,0.603173876555,2.03246098727,5,3
1,1,"w",23,8.3,0,"senkrecht","waagrecht",0,-0.835965514611,3.47415683623,1,1
1,1,"w",23,8.3,0,"senkrecht","waagrecht",0,-0.539085984588,2.88274431956,2,2
1,1,"w",23,33.3,90,"waagrecht","senkrecht",0,-1.52590218967e-05,2.14118493976,3,2
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,1,3.1410601478,5,3
1,1,"w",23,16.7,0,"senkrecht","waagrecht",0,0.373006790265,2.32421945677,4,2
1,1,"w",23,33.3,0,"senkrecht","senkrecht",1,0.18254367895,2.34935878106,3,2
1,1,"w",23,66.7,90,"waagrecht","senkrecht",0,0.396810864424,2.54910355102,4,2
1,1,"w",23,33.3,90,"waagrecht","waagrecht",1,0.126970321202,2.38276613409,3,2
1,1,"w",23,133.3,90,"waagrecht","waagrecht",1,0.555535210193,2.34087421099,4,2
1,1,"w",23,8.3,90,"waagrecht","waagrecht",1,-0.609399557488,3.08249325995,1,1
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,0.825375753414,2.26233098549,5,3
1,1,"w",23,33.3,0,"senkrecht","senkrecht",1,-0.460959792477,2.2658793759,2,2
1,1,"w",23,16.7,0,"senkrecht","senkrecht",1,-0.531273365377,1.84926446528,2,2
1,1,"w",23,16.7,0,"senkrecht","senkrecht",1,-0.515648126955,1.92420187682,2,2
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,0.896818493935,2.28252707248,5,3
1,1,"w",23,33.3,0,"senkrecht","senkrecht",1,-0.554711223011,2.03255947347,2,2
1,1,"w",23,33.3,90,"waagrecht","waagrecht",1,0.190478370336,1.90757888199,3,2
1,1,"w",23,16.7,90,"waagrecht","waagrecht",1,-0.156267643244,2.07423260965,3,2
1,1,"w",23,8.3,0,"senkrecht","waagrecht",0,-0.351583123522,1.97428066578,2,2
1,1,"w",23,8.3,90,"waagrecht","waagrecht",1,-0.078141451133,2.16612376283,3,2
1,1,"w",23,33.3,0,"senkrecht","waagrecht",0,0.166674296178,1.91591909118,3,2
1,1,"w",23,33.3,90,"waagrecht","waagrecht",1,0.142870222019,2.11617201144,3,2
1,1,"w",23,133.3,90,"waagrecht","waagrecht",1,0.984100099184,2.58252951057,5,3
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,0.682520790417,2.44092624506,5,3
1,1,"w",23,66.7,90,"waagrecht","waagrecht",1,0.452384222171,2.07423710087,4,2
1,1,"w",23,16.7,90,"waagrecht","waagrecht",1,-0.312520027466,2.40738672162,2,2
1,1,"w",23,16.7,90,"waagrecht","waagrecht",1,0.523796444648,2.00762482083,4,2
1,1,"w",23,8.3,0,"senkrecht","waagrecht",0,0.301594567788,2.02420803622,4,2
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,0.738094148165,2.14115061395,5,3
1,1,"w",23,16.7,90,"waagrecht","senkrecht",0,0.206347753109,1.85758189753,4,2
1,1,"w",23,133.3,90,"waagrecht","waagrecht",1,0.523796444648,2.14947061262,4,2
1,1,"w",23,8.3,90,"waagrecht","waagrecht",1,0.0476234073396,2.35752447398,3,2
1,1,"w",23,8.3,0,"senkrecht","waagrecht",0,-0.101579308766,1.89926882819,3,2
1,1,"w",23,33.3,90,"waagrecht","senkrecht",0,0.0476234073396,1.74948703768,3,2
1,1,"w",23,33.3,0,"senkrecht","waagrecht",0,0.793636987869,3.29106425407,5,3
1,1,"w",23,16.7,0,"senkrecht","senkrecht",1,-0.757839322499,2.29945450836,1,1
1,1,"w",23,66.7,90,"waagrecht","waagrecht",1,0.825375753414,2.15755450104,5,3
1,1,"w",23,133.3,90,"waagrecht","waagrecht",1,0.428580148013,2.00758407898,4,2
1,1,"w",23,66.7,90,"waagrecht","waagrecht",1,0.428580148013,1.79092663003,4,2
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,0.801571679255,2.14088691474,5,3
1,1,"w",23,8.3,0,"senkrecht","waagrecht",0,0.317463950561,1.81596041047,4,2
1,1,"w",23,33.3,90,"waagrecht","waagrecht",1,-0.296894789044,2.28278948847,2,2
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,0.904753185321,2.14088498993,5,3
1,1,"w",23,8.3,0,"senkrecht","senkrecht",1,-0.804715037766,1.91586359244,1,1
1,1,"w",23,8.3,90,"waagrecht","waagrecht",1,-0.382833600366,2.45754218225,2,2
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,0.936491950866,2.51583703004,5,3
1,1,"w",23,8.3,90,"waagrecht","waagrecht",1,-0.2656443122,2.6825084018,2,2
1,1,"w",23,66.7,90,"waagrecht","waagrecht",1,0.579369802396,2.51587328066,4,2
1,1,"w",23,33.3,0,"senkrecht","waagrecht",0,-0.101579308766,2.65742361385,3,2
1,1,"w",23,66.7,90,"waagrecht","waagrecht",1,0.47618829633,2.30776295815,4,2
1,1,"w",23,66.7,90,"waagrecht","waagrecht",1,0.0634927901122,1.98255607297,3,2
1,1,"w",23,16.7,0,"senkrecht","waagrecht",0,0.031754024567,2.12423985977,3,2
1,1,"w",23,8.3,90,"waagrecht","waagrecht",1,-0.164080262455,2.21611336884,3,2
1,1,"w",23,33.3,0,"senkrecht","waagrecht",0,-0.242206454566,2.24922237606,2,2
1,1,"w",23,66.7,90,"waagrecht","waagrecht",1,0.158739604791,2.04945739558,3,2
1,1,"w",23,33.3,90,"waagrecht","waagrecht",1,-0.421896696422,2.43254465242,2,2
1,1,"w",23,8.3,0,"senkrecht","waagrecht",0,-0.429709315633,2.05754930405,2,2
1,1,"w",23,33.3,0,"senkrecht","waagrecht",0,-0.429709315633,1.99121034727,2,2
1,1,"w",23,8.3,90,"waagrecht","waagrecht",1,-0.671900511177,3.70760794665,1,1
