"gender","age","coherence","direction","stimulus","response","correct","Rating","rt","rating","rating3","participant"
"w",23,0.064,90,"nach oben","nach oben",1,0.460318913558,2.69087000555,4,2,7
"w",23,0.032,270,"nach unten","nach unten",1,-1,5.05740977362,1,1,7
"w",23,0.128,90,"nach oben","nach oben",1,0.373006790265,3.01586943613,4,2,7
"w",23,0.128,270,"nach unten","nach unten",1,0.714290074006,2.42424243396,5,3,7
"w",23,0.032,90,"nach oben","nach oben",1,-1,5.89899451011,1,1,7
"w",23,0.032,90,"nach oben","nach oben",1,-0.789089799344,3.29085390129,1,1,7
"w",23,0.256,270,"nach unten","nach unten",1,1,3.14087059904,5,3,7
"w",23,0.016,270,"nach unten","nach oben",0,-0.835965514611,2.90754805535,1,1,7
"w",23,0.256,270,"nach unten","nach unten",1,1,2.47446592072,5,3,7
"w",23,0.016,90,"nach oben","nach unten",0,-1,3.82413470863,1,1,7
"w",23,0.256,270,"nach unten","nach unten",1,1,2.64115851888,5,3,7
"w",23,0.032,270,"nach unten","nach unten",1,-1,5.90734145882,1,1,7
"w",23,0.256,90,"nach oben","nach oben",1,1,2.46592167874,5,3,7
"w",23,0.064,90,"nach oben","nach oben",1,-0.921904325933,4.15746697263,1,1,7
"w",23,0.016,90,"nach oben","nach oben",1,-0.929716945144,2.73250209243,1,1,7
"w",23,0.128,90,"nach oben","nach oben",1,0.40474555581,2.63257193104,4,2,7
"w",23,0.256,90,"nach oben","nach oben",1,1,2.32425067858,5,3,7
"w",23,0.016,270,"nach unten","nach oben",0,-0.945342183566,6.11565780301,1,1,7
"w",23,0.128,90,"nach oben","nach oben",1,0.468253604944,3.34106872639,4,2,7
"w",23,0.064,90,"nach oben","nach oben",1,-0.578149080644,4.04913725099,2,2,7
"w",23,0.016,270,"nach unten","nach oben",0,-1,11.240365432,1,1,7
"w",23,0.032,90,"nach oben","nach oben",1,-1,4.91597680858,1,1,7
"w",23,0.032,270,"nach unten","nach oben",0,-1,2.5325721556,1,1,7
"w",23,0.064,90,"nach oben","nach oben",1,-1,4.56599267224,1,1,7
"w",23,0.032,90,"nach oben","nach oben",1,-1,3.83248454456,1,1,7
